2022-04-18 11:45:28.218 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'startTime': '2022-04-14 00:00:00', 'endTime': '2022-04-13 00:00:00', 'agentId': None}
2022-04-18 11:45:28.219 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"totalTestMoney":0.00,"totalTestPortion":0.00,"testDetail":[]}}
2022-04-18 11:45:28.219 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.101085
2022-04-18 11:45:28.219 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：0
2022-04-18 11:45:28.219 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-18 11:45:28.220 | INFO     | common.unittestMain:assert_data:88 - 响应内容与预期一致
2022-04-18 11:45:28.421 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'startTime': '2022-04-13 00:00:00', 'endTime': '2022-04-14 00:00:00', 'agentId': 0}
2022-04-18 11:45:28.421 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"totalTestMoney":0.00,"totalTestPortion":0.00,"testDetail":[]}}
2022-04-18 11:45:28.421 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.103369
2022-04-18 11:45:28.421 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：0
2022-04-18 11:45:28.422 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-18 11:45:28.422 | INFO     | common.unittestMain:assert_data:88 - 响应内容与预期一致
2022-04-18 11:45:28.587 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'startTime': '', 'endTime': '2022-04-14 00:00:00', 'agentId': 0}
2022-04-18 11:45:28.587 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"startTime：开始时间不能为空","data":null}
2022-04-18 11:45:28.587 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.080955
2022-04-18 11:45:28.587 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：400
2022-04-18 11:45:28.588 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-18 11:45:28.588 | INFO     | common.unittestMain:assert_data:91 - 响应内容与预期一致
2022-04-18 11:45:28.758 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'startTime': '2022-04-13 00:00:00', 'endTime': '', 'agentId': 0}
2022-04-18 11:45:28.759 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"endTime：结束时间不能为空","data":null}
2022-04-18 11:45:28.759 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.079091
2022-04-18 11:45:28.759 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：400
2022-04-18 11:45:28.759 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-18 11:45:28.759 | INFO     | common.unittestMain:assert_data:91 - 响应内容与预期一致
2022-04-18 11:45:28.950 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'startTime': '2022-04-13 00:00:00', 'endTime': '2022-04-13 00:00:00', 'agentId': 0}
2022-04-18 11:45:28.951 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"totalTestMoney":0.00,"totalTestPortion":0.00,"testDetail":[]}}
2022-04-18 11:45:28.951 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.096428
